mes,_uuid,departamento,municipio,Arroz,precio_arroz,dias_exisnc_arroz,Lentejas,precio_lentejas,dias_exisnc_lentejas,Huevos,precio_huevos,dias_exisnc_huevos,Pollo,precio_pollo,dias_exisnc_pollo,Frijoles,precio_fríjoles,dias_exisnc_fríjoles,Pasta,precio_pasta,dias_exisnc_pasta,Harina,precio_harína,dias_exisnc_harína,Plátano,precio_plátano,dias_exisnc_plátano,Papa,precio_papa,dias_exisnc_papa,Yuca,precio_yuca,dias_exisnc_yuca,Aceite,precio_aceite,dias_exisnc_aceite,Tomate,precio_tomate,dias_exisnc_tomate,Leche,precio_leche,dias_exisnc_leche,Atún,precio_atún,dias_exisnc_atún,Papel higiénico,precio_papel higiénico,dias_existencia_papel higiénico,Toallas higiénicas,precio_toallas higiénicas,dias_exisnc_toallas higiénicas,Jabón ropa,precio_jabón ropa,dias_exisnc_jabón ropa,Crema dental,precio_crema dental,dias_exisnc_crema dental,Jabón personal,precio_jabón personal,dias_exisnc_jabón personal,Pañales,precio_pañales,dias_exisnc_pañales,Cloro,precio_cloro,dias_exisnc_cloro,Tapabocas,precio_tabapocas,dias_exisnc_tabapocas,desafios_30ds,desafios1_vías,desafios2_bloqueos,desafios3_restriccion forntera,desafios4_inseguridad,desafios5_malas condiciones carreteras,desafios6_proveedores_detenidos,desafios7_sin productos_provee,desafios8_tiempos largos,desafios9_mercancias lentas_covid19,desafios10_sin demanda,desafios11_escasez transporte,desafios12_gasolina cara,desafios13_transporte caro,desafios14_falta crédito,desafios15_falta liquidez,desafios16_no almacenamiento,desafios17_no proveedores mayoristas,desafios18_mala relacion proveedor,desafios19_otro
1/11/2020,000b9298-6154-4d3b-9018-4ff2650ad01d,Nariño,IPIALES,Sí,4500,30,Sí,2100,30,Sí,330,8,Sí,4250,8,Sí,4200,30,Sí,4800,30,Sí,2100,30,No,,,No,,,No,,,Sí,5800,30,No,,,Sí,2700,30,Sí,4250,30,Sí,2000,30,Sí,3000,30,Sí,2000,30,Sí,2300,30,Sí,2200,30,Sí,15000,30,Sí,1900,30,No,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No
1/11/2020,00342936-5766-4763-af06-da20b31e66a0,Arauca,SARAVENA,Sí,3600,10,Sí,4600,10,Sí,367,1,Sí,10000,1,Sí,7400,10,Sí,3900,15,Sí,3000,20,Sí,1300,2,Sí,1000,2,Sí,1000,2,Sí,6200,10,Sí,3000,2,Sí,3200,2,Sí,4800,30,Sí,1000,30,Sí,3600,60,Sí,2300,30,Sí,5500,60,Sí,2200,60,Sí,21500,7,Sí,2500,30,Sí,1000,180,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí
1/11/2020,04c31151-3e9c-4ff3-aab9-cce34430764e,La Guajira,MANAURE,Sí,3200,1,Sí,4000,1,No,,,Sí,8400,1,No,,,Sí,3800,1,Sí,2800,1,Sí,800,1,No,,,No,,,Sí,,4,No,,,Sí,2800,8,Sí,3500,7,Sí,1000,3,Sí,2600,7,Sí,1500,1,Sí,1300,8,Sí,1600,15,Sí,16000,30,Sí,2000,8,Sí,1000,30,Sí,,,,,,,,,,,,,,,,,,,
1/11/2020,052d82bd-2520-45ae-a0ce-ac5426695da9,Norte de Santander,TIBÚ,Sí,2900,15,No,,,No,,,No,,,No,,,Sí,4000,15,Sí,3300,15,No,,,Sí,1600,4,No,,,Sí,4700,15,No,,,No,,,No,,,Sí,2000,30,No,,,Sí,3000,30,Sí,2600,30,Sí,1900,30,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,
1/11/2020,058a6be2-4806-414e-a36b-5e4c51373639,Antioquia,MEDELLÍN,Sí,3850,6,No,,,No,,,No,,,No,,,Sí,1800,6,No,,,No,,,No,,,Sí,900,4,No,,,No,,,No,,,No,,,Sí,2000,8,No,,,No,,,Sí,2800,6,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,
1/11/2020,09b81485-4ddb-415e-be30-6952ec81d218,Atlántico,BARRANQUILLA,No,,,Sí,4000,15,Sí,400,2,No,,,Sí,6400,8,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Sí,1000,15,No,,,,,,,,,,,,,,,,,,,
1/11/2020,0f7f0e0c-7d6a-4475-9a3f-67e2f8c3ce9b,Atlántico,BARRANQUILLA,Sí,3600,2,Sí,4000,2,No,,,Sí,8000,2,Sí,6000,2,Sí,2400,3,Sí,4000,3,Sí,No Sabe,2,No,,,Sí,No Sabe,1,Sí,5000,2,Sí,1600,2,Sí,2500,2,Sí,6000,2,Sí,1000,2,Sí,4500,2,Sí,1500,2,Sí,2700,2,Sí,2400,2,No,,,Sí,1000,2,Sí,1000,2,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No
1/11/2020,11f43d98-451b-49a1-93fd-e49f257bf9b6,Arauca,SARAVENA,Sí,3200,8,Sí,4600,15,Sí,350,2,No,,,Sí,6400,15,Sí,3900,30,Sí,3500,8,Sí,1200,2,No,,,No,,,Sí,5900,30,Sí,2500,2,Sí,3200,8,Sí,4500,30,Sí,1500,30,Sí,1800,30,Sí,1200,30,Sí,3800,30,Sí,2300,30,Sí,17900,15,Sí,2500,30,No,,,Sí,,,,,,,,,,,,,,,,,,,
1/11/2020,13988dc1-61b8-46e4-8acd-d10334effc09,La Guajira,MAICAO,Sí,3200,15,No,,,No,,,No,,,No,,,Sí,3800,20,Sí,3000,20,No,,,No,,,No,,,Sí,4500,20,No,,,No,,,No,,,Sí,1200,20,Sí,3000,15,No,,,Sí,2000,15,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,
1/11/2020,1567a7eb-6c72-4212-839f-6dbe6914f5ce,Cundinamarca,SOACHA,Sí,3200,7,Sí,4800,7,Sí,350,7,Sí,9000,4,Sí,3200,7,Sí,2800,7,Sí,3400,7,Sí,2200,3,Sí,800,7,No,,,Sí,6800,7,Sí,2600,3,Sí,2200,7,Sí,6600,7,Sí,2000,7,Sí,1800,4,Sí,1750,5,Sí,2600,7,Sí,2500,6,Sí,18000,2,Sí,1100,4,Sí,1000,7,No,,,,,,,,,,,,,,,,,,,
