mes;_uuid;departamento;municipio;arroz;precio_arroz;dias_exisnc_arroz;lentejas;precio_lentejas;dias_exisnc_lentejas;huevos;precio_huevos;dias_exisnc_huevos;pollo;precio_pollo;dias_exisnc_pollo;frijoles;precio_frijoles;dias_exisnc_frijoles;pasta;precio_pasta;dias_exisnc_pasta;harina;precio_harina;dias_exisnc_harina;platano;precio_platano;dias_exisnc_platano;papa;precio_papa;dias_exisnc_papa;yuca;precio_yuca;dias_exisnc_yuca;aceite;precio_aceite;dias_exisnc_aceite;tomate;precio_tomate;dias_exisnc_tomate;leche;precio_leche;dias_exisnc_leche;atun;precio_atun;dias_exisnc_atun;papel_higienico;precio_papel_higienico;dias_existencia_papel_higienico;toallas_higienicas;precio_toallas_higienicas;dias_exisnc_toallas_higienicas;jabon_ropa;precio_jabon_ropa;dias_exisnc_jabon_ropa;crema_dental;precio_crema_dental;dias_exisnc_crema_dental;jabon_personal;precio_jabon_personal;dias_exisnc_jabon_personal;panales;precio_panales;dias_exisnc_panales;cloro;precio_cloro;dias_exisnc_cloro;Tapabocas;precio_tabapocas;dias_exisnc_tabapocas;desafios_30ds;desafios_1;desafios_2;desafios_3;desafios_4;desafios_5;desafios_6;desafios_7;desafios_8;desafios_9;desafios_10;desafios_11;desafios_12;desafios_13;desafios_14;desafios_15;desafios_16;desafios_17
1/11/2020;000b9298-6154-4d3b-9018-4ff2650ad01d;Nariño;Ipiales;Si;4500;30;Si;2100;30;Si;330;8;Si;4250;8;Si;4200;30;Si;4800;30;Si;2100;30;No;;;No;;;No;;;Si;5800;30;No;;;Si;2700;30;Si;4250;30;Si;2000;30;Si;3000;30;Si;2000;30;Si;2300;30;Si;2200;30;Si;15000;30;Si;1900;30;No;;;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;Si;No;No
1/11/2020;00342936-5766-4763-af06-da20b31e66a0;Arauca;Saravena;Si;3600;10;Si;4600;10;Si;367;1;Si;10000;1;Si;7400;10;Si;3900;15;Si;3000;20;Si;1300;2;Si;1000;2;Si;1000;2;Si;6200;10;Si;3000;2;Si;3200;2;Si;4800;30;Si;1000;30;Si;3600;60;Si;2300;30;Si;5500;60;Si;2200;60;Si;21500;7;Si;2500;30;Si;1000;180;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
1/11/2020;04c31151-3e9c-4ff3-aab9-cce34430764e;La Guajira;Manaure;Si;3200;1;Si;4000;1;No;;;Si;8400;1;No;;;Si;3800;1;Si;2800;1;Si;800;1;No;;;No;;;Si;;4;No;;;Si;2800;8;Si;3500;7;Si;1000;3;Si;2600;7;Si;1500;1;Si;1300;8;Si;1600;15;Si;16000;30;Si;2000;8;Si;1000;30;Si;;;;;;;;;;;;;;;;;
1/11/2020;052d82bd-2520-45ae-a0ce-ac5426695da9;Norte de Santander;Tibú;Si;2900;15;No;;;No;;;No;;;No;;;Si;4000;15;Si;3300;15;No;;;Si;1600;4;No;;;Si;4700;15;No;;;No;;;No;;;Si;2000;30;No;;;Si;3000;30;Si;2600;30;Si;1900;30;No;;;No;;;No;;;No;;;;;;;;;;;;;;;;;
1/11/2020;058a6be2-4806-414e-a36b-5e4c51373639;Antioquia;Medellín;Si;3850;6;No;;;No;;;No;;;No;;;Si;1800;6;No;;;No;;;No;;;Si;900;4;No;;;No;;;No;;;No;;;Si;2000;8;No;;;No;;;Si;2800;6;No;;;No;;;No;;;No;;;No;;;;;;;;;;;;;;;;;
1/11/2020;09b81485-4ddb-415e-be30-6952ec81d218;Atlantico;Barranquilla;No;;;Si;4000;15;Si;400;2;No;;;Si;6400;8;No;;;No;;;No;;;No;;;No;;;No;;;No;;;No;;;No;;;No;;;No;;;No;;;No;;;No;;;No;;;No;;;Si;1000;15;No;;;;;;;;;;;;;;;;;
1/11/2020;0f7f0e0c-7d6a-4475-9a3f-67e2f8c3ce9b;Atlantico;Barranquilla;Si;3600;2;Si;4000;2;No;;;Si;8000;2;Si;6000;2;Si;2400;3;Si;4000;3;Si;No Sabe;2;No;;;Si;No Sabe;1;Si;5000;2;Si;1600;2;Si;2500;2;Si;6000;2;Si;1000;2;Si;4500;2;Si;1500;2;Si;2700;2;Si;2400;2;No;;;Si;1000;2;Si;1000;2;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No
1/11/2020;11f43d98-451b-49a1-93fd-e49f257bf9b6;Arauca;Saravena;Si;3200;8;Si;4600;15;Si;350;2;No;;;Si;6400;15;Si;3900;30;Si;3500;8;Si;1200;2;No;;;No;;;Si;5900;30;Si;2500;2;Si;3200;8;Si;4500;30;Si;1500;30;Si;1800;30;Si;1200;30;Si;3800;30;Si;2300;30;Si;17900;15;Si;2500;30;No;;;Si;;;;;;;;;;;;;;;;;
1/11/2020;13988dc1-61b8-46e4-8acd-d10334effc09;La Guajira;Maicao;Si;3200;15;No;;;No;;;No;;;No;;;Si;3800;20;Si;3000;20;No;;;No;;;No;;;Si;4500;20;No;;;No;;;No;;;Si;1200;20;Si;3000;15;No;;;Si;2000;15;No;;;No;;;No;;;No;;;No;;;;;;;;;;;;;;;;;
1/11/2020;1567a7eb-6c72-4212-839f-6dbe6914f5ce;Cundinamarca;Soacha;Si;3200;7;Si;4800;7;Si;350;7;Si;9000;4;Si;3200;7;Si;2800;7;Si;3400;7;Si;2200;3;Si;800;7;No;;;Si;6800;7;Si;2600;3;Si;2200;7;Si;6600;7;Si;2000;7;Si;1800;4;Si;1750;5;Si;2600;7;Si;2500;6;Si;18000;2;Si;1100;4;Si;1000;7;No;;;;;;;;;;;;;;;;;
